LAST NAME,FIRST NAME,DOB,POB,SSN,SEX,STREET NUMBER,STREET NAME,VOTER REG DATE,PARTY 
BUSH,Gordon,1938/7/20,Idaho,213-56-0886,MALE,74,PRICKLYPEAR,1957/7/15,REPUBLICAN
VALENZUELA,MARGARET,1935/8/20,Alderwood,026-26-3683,FEMALE,2786,SELKIRK,1957/7/15,REPUBLICAN
HYMAS,JOSEPH,1935/8/21,Alderwood,031-77-6750,MALE,2506,STRAWBERRY,1957/7/16,INDEPENDENT
LINDBERG,Helene,1935/8/21,Montana,020-24-8092,FEMALE,97,BIRCH,1957/7/16,REPUBLICAN
BUCK,Isaac,1938/5/18,ARIZONA,981-20-9202,MALE,637,CRANBERRY,1957/7/17,REPUBLICAN
SHOTWELL,DOROTHY,1920/7/31,ARIZONA,545-45-5976,FEMALE,392,BLACKBERRY,1957/7/17,DEMOCRAT
HIRATA,Joyce,1938/7/23,Alderwood,416-96-8337,FEMALE,788,TWENTIETH,1957/7/18,REPUBLICAN
TELANDER,JOSEPH,1938/5/19,Montana,317-64-7994,MALE,114,CHIHUAHUA,1957/7/18,DEMOCRAT
CHRISTENSEN,BETH,1937/1/5,Idaho,080-71-3274,FEMALE,16,SEVENTEENTH,1957/7/19,DEMOCRAT
DEVANATHAN,Kirk,1937/1/5,Alderwood,420-78-7976,MALE,2548,HAVANESE,1957/7/19,REPUBLICAN
BOEDEKER,BRAD,1935/8/25,Alderwood,131-11-4381,MALE,190,PERSIMMON,1957/7/20,DEMOCRAT
ZHAO,Leslie,1919/3/22,Alderwood,037-52-4882,FEMALE,2611,JAVANESE,1957/7/20,INDEPENDENT
KIM,Michael,1939/7/26,OKLAHOMA,280-37-8792,MALE,311,BASSET,1957/7/21,DEMOCRAT
SHINTAFFER,CARRIE,1937/1/7,Alderwood,558-15-8745,FEMALE,1136,PINE,1957/7/21,DEMOCRAT
QIAO,Nadine,1937/1/8,ARIZONA,767-63-5483,FEMALE,171,PERSIAN,1957/7/22,DEMOCRAT
ROBBINS,DONALD,1934/4/14,Montana,993-34-3810,MALE,68,PANSY,1957/7/22,REPUBLICAN
DECKER,CAROLINE,1935/8/28,Alderwood,465-20-8919,FEMALE,147,HOLLY,1957/7/23,REPUBLICAN
PITTS,Oscar,1935/8/28,ARIZONA,051-60-0530,MALE,389,LAVENDER,1957/7/23,DEMOCRAT
NI,Patty,1938/5/25,Utah,448-24-8354,FEMALE,955,BLUEBERRY,1957/7/24,DEMOCRAT
SCHMELZER,DENNIS,1938/5/25,Washington,828-67-8310,MALE,73,RASPBERRY,1957/7/24,REPUBLICAN
METZ,Rafael,1935/8/30,MEXICO,552-06-2813,MALE,563,SAFFLOWER,1957/7/25,DEMOCRAT
SIEFKEN,KATY,1939/7/30,Alderwood,279-51-3168,FEMALE,2534,STRAWBERRY,1957/7/25,REPUBLICAN
HEIMBIGNER,WAYNE,1935/8/31,VERMONT,672-22-3367,MALE,487,FIFTEENTH,1957/7/26,REPUBLICAN
STUDHAM,Sandy,1935/8/31,Idaho,846-75-6991,FEMALE,213,DALMATIAN,1957/7/26,REPUBLICAN
CORLEY,Tony,1938/5/28,MEXICO,030-59-7453,MALE,701,PHEASANT,1957/7/27,REPUBLICAN
PRESTON,CYNTHIA,1935/9/1,Alderwood,736-03-8454,FEMALE,1874,MUNCHKIN,1957/7/27,REPUBLICAN
MARTIN,NEAL,1935/9/2,Washington,654-34-1320,MALE,529,TERRIER,1957/7/28,REPUBLICAN
STRICKLAND,Valerie,1935/9/2,MEXICO,349-12-9238,FEMALE,1190,ROSEHIP,1957/7/28,REPUBLICAN
ALLEN,NATALIE,1935/9/3,California,639-36-0170,FEMALE,171,HOLLY,1957/7/29,INDEPENDENT
WANG,William,1932/12/7,Alderwood,359-36-4881,MALE,1464,BEAGLE,1957/7/29,REPUBLICAN
JOHNSON,MIKE,1935/9/4,Alderwood,279-95-7624,MALE,1634,SIXTEENTH,1957/7/30,DEMOCRAT
LASKIN,Andrea,1934/4/22,Washington,665-01-0295,FEMALE,19,ROSE,1957/7/30,REPUBLICAN
GARCIA,Barry,1935/9/5,Oregon,639-68-7881,MALE,189,SIAMESE,1957/7/31,REPUBLICAN
HRMA,KIMBERLY,1937/1/17,Alderwood,059-76-0658,FEMALE,2520,POODLE,1957/7/31,DEMOCRAT
BONTHA,SCOTT,1934/4/24,ARKANSAS,594-82-1664,MALE,219,PAWPAW,1957/8/1,DEMOCRAT
WANG,Chantal,1935/9/6,Alderwood,125-96-7484,FEMALE,48,THISTLE,1957/8/1,REPUBLICAN
RALSTON,BECKY,1935/9/7,MEXICO,367-83-0467,FEMALE,130,THIRTEENTH,1957/8/2,DEMOCRAT
RESAT,Dean,1938/6/3,Alderwood,848-85-1982,MALE,1911,BARREL,1957/8/2,INDEPENDENT
BRUUN,THOMAS,1937/1/20,Alderwood,830-47-2000,MALE,1442,FOURTEENTH,1957/8/3,DEMOCRAT
PIGULSKI,Erin,1935/9/8,Alderwood,407-91-8736,FEMALE,393,SEVENTEENTH,1957/8/3,DEMOCRAT
FORAKER,REBECAH,1938/6/5,Alderwood,265-69-9581,FEMALE,1295,MUNCHKIN,1957/8/4,REPUBLICAN
MCGRAIL,Felix,1919/4/6,Oregon,196-09-9522,MALE,3994,BASSET,1957/8/4,DEMOCRAT
NEELY,STEVEN,1938/6/6,Alderwood,474-83-6738,MALE,535,HOLLY,1957/8/5,REPUBLICAN
RUNKLE,Gabrielle,1937/1/22,Mexico,710-33-2873,FEMALE,350,SCOTTISH,1957/8/5,DEMOCRAT
CHAPPELL,KELLY,1920/8/20,Alderwood,095-05-6028,FEMALE,1890,THISTLE,1957/8/6,REPUBLICAN
WU,Humberto,1938/6/7,Alderwood,313-32-5393,MALE,1351,SALMON,1957/8/6,DEMOCRAT
EL-AZAB,Ingrid,1937/1/24,Alderwood,141-52-2529,FEMALE,71,OAK,1957/8/7,DEMOCRAT
JOHNSTON,RICHARD,1930/3/22,Alderwood,504-77-3081,MALE,1852,BENGAL,1957/8/7,REPUBLICAN
MCGRATH,ANGELA,1934/5/1,Alderwood,388-63-6539,FEMALE,1610,BLACKBERRY,1957/8/8,REPUBLICAN
ORR,Jerry,1938/6/9,Alderwood,729-37-6038,MALE,595,LABRADOR,1957/8/8,REPUBLICAN
EIKE,WILLIAM,1938/8/14,Alderwood,200-31-1949,MALE,1004,SEVENTH,1957/8/9,REPUBLICAN
SCHELLY,Karen,1937/1/26,ARIZONA,355-77-7905,FEMALE,261,SPANIEL,1957/8/9,REPUBLICAN
KINZEY,MICHELLE,1937/1/27,ARIZONA,979-72-5252,FEMALE,1591,SNOWSHOE,1957/8/10,REPUBLICAN
REIDEL,Lorenzo,1920/8/24,Utah,482-49-7712,MALE,760,BURMESE,1957/8/10,REPUBLICAN
FLEMING,Melissa,1935/9/16,Alderwood,747-62-2041,FEMALE,994,ASTER,1957/8/11,REPUBLICAN
TAVARES,ROBERT,1938/6/12,Alderwood,438-32-0812,MALE,3059,POODLE,1957/8/11,INDEPENDENT
GULLEY,Noel,1935/9/17,Alderwood,971-26-9714,FEMALE,295,SUMAC,1957/8/12,REPUBLICAN
PARTHREE,AMY,1938/6/13,Alderwood,029-06-1912,FEMALE,362,AIREDALE,1957/8/12,DEMOCRAT
SELCH,KENNETH,1938/6/14,MEXICO,666-29-6827,MALE,416,SAGUARO,1957/8/13,DEMOCRAT
SIMONEN,Olga,1920/8/27,Oregon,981-15-3659,FEMALE,883,PAWPAW,1957/8/13,REPUBLICAN
BRAWN,MELISSA,1938/8/19,Montana,860-64-6540,FEMALE,168,TERRIER,1957/8/14,DEMOCRAT
DOWN,Pablo,1938/6/15,Alderwood,566-74-5408,MALE,3073,THIRTEENTH,1957/8/14,REPUBLICAN
DIAZ,Rebekah,1937/2/1,Utah,646-76-0764,FEMALE,194,AIREDALE,1957/8/15,INDEPENDENT
TAYLOR,JEFFERY,1935/9/20,RHODE ISLAND,839-38-4908,MALE,299,FIRST ,1957/8/15,DEMOCRAT
CROW,HEATHER,1920/8/30,Idaho,072-55-9702,MALE,91,TWINBERRY,1957/8/16,DEMOCRAT
SIMEONOVA,Sebastien,1935/9/21,MEXICO,620-78-3025,MALE,668,LILAC,1957/8/16,DEMOCRAT
BAILEY,Tanya,1937/2/3,Alderwood,262-66-8562,FEMALE,3241,BASSET,1957/8/17,DEMOCRAT
HOLTOM,CHRISTOPHER,1935/9/22,Alderwood,479-16-3632,MALE,1109,PERSIAN,1957/8/17,REPUBLICAN
LANGEVIN,STEPHANIE,1935/9/23,Alderwood,093-10-6637,FEMALE,1786,SAGUARO,1957/8/18,REPUBLICAN
SMITH,Van,1934/5/11,LOUISIANNA,267-50-9014,MALE,240,TERRIER,1957/8/18,DEMOCRAT
PARKER,Wendy,1935/9/24,Alderwood,928-10-9796,FEMALE,412,BROOM,1957/8/19,DEMOCRAT
TOWNSEND,JOHN,1938/6/20,Alderwood,980-65-5563,MALE,672,BUTTONWOOD,1957/8/19,REPUBLICAN
BAER,LAUREN,1938/6/21,Alderwood,178-28-2086,MALE,2016,SUNSET,1957/8/20,REPUBLICAN
SCHIENBEIN,Arthur,1938/6/21,Alderwood,638-29-0051,MALE,1848,PINSCHER,1957/8/20,DEMOCRAT
BOYD,Bertha,1939/8/26,Utah,543-07-9198,FEMALE,14,BROOM,1957/8/21,REPUBLICAN
PALO,BRIAN,1934/5/14,Alderwood,871-37-0623,MALE,1841,THIRD,1957/8/21,REPUBLICAN
ELDER,NICOLE,1939/8/27,Alderwood,202-25-2631,FEMALE,2898,MARIGOLD,1957/8/22,REPUBLICAN
STROPE,Cristobal,1935/9/27,Alderwood,025-05-9891,MALE,461,BENGAL,1957/8/22,REPUBLICAN
BONEBRAKE,Dolly,1935/9/28,Utah,104-95-9889,FEMALE,250,TIFFANY,1957/8/23,REPUBLICAN
COOPER,JASON,1935/9/28,ARIZONA,529-02-2481,MALE,223,BARREL,1957/8/23,REPUBLICAN
BAGU,AMANDA,1938/8/29,Alderwood,897-90-5791,FEMALE,84,MALAMUTE,1957/8/24,INDEPENDENT
SHANKLE,Edouard,1935/9/29,Alderwood,314-95-3753,MALE,416,MUNCHKIN,1957/8/24,REPUBLICAN
FERRYMAN,Fay,1935/9/30,Idaho,465-68-2554,FEMALE,62,SALMON,1957/8/25,REPUBLICAN
MINARD,SCOTT,1937/2/11,ARIZONA,509-42-6622,MALE,220,SPHYNX,1957/8/25,DEMOCRAT
CATALAN,Gustav,1935/10/1,Alderwood,925-72-8352,MALE,2086,BORZOI,1957/8/26,REPUBLICAN
FELMY,BRITTANY,1938/8/31,Alderwood,839-09-4437,FEMALE,596,CHIHUAHUA,1957/8/26,DEMOCRAT
HUGHES,Hanna,1937/2/13,Utah,479-89-7953,FEMALE,400,LUPIN,1957/8/27,REPUBLICAN
SCHWARTZ,MATTHEW,1920/9/10,NORTH CAROLINA,812-66-2984,MALE,301,WOLFHOUND,1957/8/27,DEMOCRAT
MCKINSTRY,Ike,1934/5/21,California,785-13-7088,MALE,96,BASENJI,1957/8/28,INDEPENDENT
WATTENBURGER,RACHEL,1938/6/29,KANSAS,979-90-5934,FEMALE,266,THISTLE,1957/8/28,DEMOCRAT
LOPRESTI,Josephine,1935/10/4,Washington,067-73-8409,FEMALE,134,BLACKBERRY,1957/8/29,DEMOCRAT
VORPAGEL,DANIEL,1939/9/3,Idaho,304-51-9111,MALE,47,DAFFODIL,1957/8/29,DEMOCRAT
WALKER,Kyle,1937/2/16,Wyoming,510-95-4553,MALE,665,ALDER,1957/8/30,DEMOCRAT
WILLIAMS,MEGAN,1935/10/5,Alderwood,061-75-3460,FEMALE,2779,ROSE,1957/8/30,REPUBLICAN
HART,JOSHUA,1937/2/17,Alderwood,126-09-8636,MALE,438,BUFFALOBERRY,1957/8/31,REPUBLICAN
HARTLEY,Laura,1938/7/2,Oregon,258-40-5372,FEMALE,94,TWENTIETH,1957/8/31,DEMOCRAT
CORT,EMILY,1935/10/7,Alderwood,439-45-4593,FEMALE,1663,LAVENDER,1957/9/1,REPUBLICAN
PULSIPHER,Marco,1938/7/3,Montana,267-49-3902,MALE,151,LILAC,1957/9/1,DEMOCRAT
MADSON,JUSTIN,1935/10/8,Alderwood,935-71-1468,MALE,2499,BROOM,1957/9/2,REPUBLICAN
WILLETT,Nana,1920/9/16,Alderwood,935-19-3691,MALE,243,PEONY,1957/9/2,DEMOCRAT
CARLON,Omar,1935/10/9,MEXICO,152-83-2281,MALE,185,FOURTH,1957/9/3,REPUBLICAN
UDSETH,SARAH,1938/7/5,Alderwood,616-16-4565,FEMALE,434,CORNFLOWER,1957/9/3,REPUBLICAN
ALLEN,NEWTON,1939/9/9,Washington,636-91-8230,MALE,535,KINNIKINICK,1957/9/4,REPUBLICAN
KLYMYSHYN,Paloma,1934/5/28,Alderwood,996-01-9467,FEMALE,1240,BARBERRY,1957/9/4,REPUBLICAN
BAILEY,Rene,1938/9/10,Utah,504-25-4213,FEMALE,970,CROWBERRY,1957/9/5,REPUBLICAN
HAWKINS,TAYLOR,1937/2/22,Alderwood,915-96-4590,MALE,3164,HIMALAYA,1957/9/5,REPUBLICAN
NAVEY,RYAN,1938/7/8,ARIZONA,448-69-0147,MALE,405,BUTTONWOOD,1957/9/6,INDEPENDENT
PAPPAS,Sally,1937/2/23,Alderwood,015-62-0087,FEMALE,1379,CORGI,1957/9/6,REPUBLICAN
KIRKHAM,JESSICA,1937/2/24,MARYLAND,469-02-3195,FEMALE,623,THIRTEENTH,1957/9/7,DEMOCRAT
SPEER,Teddy,1938/7/9,California,741-77-9238,FEMALE,234,OAK,1957/9/7,REPUBLICAN
SANDNESS,Vicky,1937/2/25,Alderwood,873-89-5864,FEMALE,957,PANSY,1957/9/8,REPUBLICAN
WAICHLER,ANDREW,1938/9/13,Alderwood,898-58-3703,MALE,1750,PALM,1957/9/8,DEMOCRAT
COLE,ASHLEY,1937/2/26,Alderwood,213-98-3340,FEMALE,1574,HIMALAYA,1957/9/9,DEMOCRAT
SLONE,Wilfred,1938/7/11,Alderwood,736-83-2754,MALE,3360,SELKIRK,1957/9/9,REPUBLICAN
BALES,NICHOLAS,1935/10/16,Montana,426-01-7292,MALE,188,BENGAL,1957/9/10,DEMOCRAT
POEPPEL,Ana,1938/9/15,Alderwood,651-33-8803,FEMALE,1758,STRAWBERRY,1957/9/10,INDEPENDENT
MACLELLAN,Bill,1935/10/17,MASSACHUSETTS,813-64-2481,MALE,20,SUNFLOWER,1957/9/11,DEMOCRAT
THOMPSON,SAMANTHA,1937/2/28,Oregon,361-98-0779,FEMALE,171,TIFFANY,1957/9/11,DEMOCRAT
GALLEGOS,Claudette,1920/9/26,Utah,459-15-3119,FEMALE,45,LAUREL,1957/9/12,DEMOCRAT
TWEEDT,TYLER,1938/7/14,Alderwood,257-64-2635,FEMALE,3276,BROOM,1957/9/12,REPUBLICAN
HANSON,MADISON,1938/7/15,Alderwood,358-19-6504,FEMALE,1370,KINNIKINICK,1957/9/13,REPUBLICAN
WAGONER,Danny,1935/10/19,Alderwood,170-67-5342,MALE,805,TENTH,1957/9/13,DEMOCRAT
BIAGGI,Erika,1935/10/20,Alderwood,287-98-2696,FEMALE,628,HONEYSUCKLE,1957/9/14,DEMOCRAT
ROEDER,JACOB,1938/9/19,Alderwood,813-09-0946,MALE,78,CRANBERRY,1957/9/14,REPUBLICAN
JAHNKE,Fred,1938/7/17,Alderwood,147-86-3110,MALE,978,BOXER,1957/9/15,DEMOCRAT
SHIPPERT,HANNAH,1937/3/4,Oregon,654-91-2605,FEMALE,4054,BARREL,1957/9/15,REPUBLICAN
MORRIS,ZACHARY,1934/6/9,Alderwood,185-74-4268,MALE,1694,BARREL,1957/9/16,REPUBLICAN
RATHBONE,Grace,1938/7/18,Alderwood,176-96-8981,FEMALE,476,SAGE,1957/9/16,REPUBLICAN
FOX,Henri,1934/6/10,Alderwood,488-10-4723,MALE,1657,DAFFODIL,1957/9/17,REPUBLICAN
ROUSH,KAYLA,1934/6/10,Oregon,086-08-8956,FEMALE,655,GINGER,1957/9/17,REPUBLICAN
GREGG,Ida,1939/9/23,Alderwood,161-35-2207,FEMALE,193,LUPIN,1957/9/18,REPUBLICAN
UPTMOR,BRANDON,1934/6/11,Alderwood,283-16-7455,MALE,191,BEAGLE,1957/9/18,REPUBLICAN
JURRUS,ALEXIS,1937/3/8,Alderwood,719-78-6328,FEMALE,1074,ALDER,1957/9/19,INDEPENDENT
WHARTON,Joaquin,1919/5/22,Oregon,223-75-7496,FEMALE,3370,SAFFLOWER,1957/9/19,REPUBLICAN
BOND,Kate,1935/10/26,Alderwood,381-67-2724,FEMALE,924,PAWPAW,1957/9/20,REPUBLICAN
JOHNS,AUSTIN,1935/10/26,Alderwood,415-95-1194,MALE,334,BEAGLE,1957/9/20,DEMOCRAT
KIMERLING,Larry,1937/3/10,Alderwood,372-85-6672,MALE,2674,GREYHOUND,1957/9/21,REPUBLICAN
NORTHROP,LISA,1919/5/24,Montana,970-36-4688,FEMALE,153,SELKIRK,1957/9/21,DEMOCRAT
LABARGE,ETHAN,1934/6/15,ARIZONA,764-81-5814,MALE,129,TURKISH,1957/9/22,DEMOCRAT
SLIGER,Mindy,1938/9/27,Alderwood,499-36-6295,FEMALE,1882,CORGI,1957/9/22,REPUBLICAN
GAUGLITZ,Nicholas,1920/10/7,MEXICO,160-61-1047,MALE,521,CLOUDBERRY,1957/9/23,INDEPENDENT
KIEBEL,CHRISTINE,1919/5/26,ARIZONA,910-93-4473,FEMALE,47,LILY,1957/9/23,DEMOCRAT
EAGAN,ANTHONY,1935/10/30,Oregon,105-81-7669,MALE,2314,PERSIAN,1957/9/24,DEMOCRAT
WARNER,Odette,1938/7/26,ARIZONA,089-64-5401,FEMALE,1750,JAVANESE,1957/9/24,DEMOCRAT
MAYNARD,Peter,1939/9/30,Utah,173-69-6903,MALE,186,PHEASANT,1957/9/25,DEMOCRAT
SICILIANO,CHRISTINA,1939/9/30,NEW YORK,913-43-8142,FEMALE,548,BEARBERRY,1957/9/25,REPUBLICAN
BRIKOTNINA,Rose,1935/11/1,Alderwood,107-15-7928,FEMALE,1774,SPANIEL,1957/9/26,DEMOCRAT
RECTOR,ALEXANDER,1938/10/1,Alderwood,364-14-3957,MALE,1736,SUNSET,1957/9/26,REPUBLICAN
WARREN,Sam,1934/6/20,California,374-95-8889,MALE,215,BLUEBERRY,1957/9/27,DEMOCRAT
YOUNKIN,TRACY,1935/11/2,Alderwood,760-12-5767,FEMALE,3206,ASTER,1957/9/27,REPUBLICAN
DUNKLE,JONATHON,1938/7/30,ARIZONA,763-43-3693,MALE,373,SAVANNAH,1957/9/28,REPUBLICAN
GARNER,Teresa,1935/11/3,Alderwood,443-53-1930,FEMALE,1290,FOURTEENTH,1957/9/28,DEMOCRAT
LEPEL,Victor,1935/11/4,Utah,025-15-2335,MALE,241,KEESHOND,1957/9/29,REPUBLICAN
PAULSON,KAREN,1938/10/4,Alderwood,018-62-6789,FEMALE,910,MALAMUTE,1957/9/29,REPUBLICAN
CAMPBELL,Wanda,1938/8/1,Alderwood,308-41-2204,FEMALE,200,EIGHTH,1957/9/30,REPUBLICAN
STOOPS,DYLAN,1937/3/19,ALABAMA,191-48-4887,FEMALE,316,ELEVENTH,1957/9/30,REPUBLICAN
MIDDLETON,SUSAN,1919/6/3,Alderwood,800-78-9019,FEMALE,3234,SCHNAUZER,1957/10/1,REPUBLICAN
WELCH,THOMAS,1939/10/6,Alderwood,535-69-7494,MALE,581,BASSET,1957/10/1,REPUBLICAN
DOWNING,SAMUEL,1939/10/7,ARIZONA,006-34-4991,MALE,566,ELEVENTH,1957/10/2,INDEPENDENT
LARSON,MARY,1937/3/21,Washington,175-93-9685,FEMALE,1255,TWENTIETH,1957/10/2,REPUBLICAN
EWALD,JAMES,1938/8/4,Oregon,957-17-8498,MALE,2872,SIXTH,1957/10/3,REPUBLICAN
HULL,TAMMY,1937/3/22,Alderwood,884-49-2423,FEMALE,478,ASTER,1957/10/3,DEMOCRAT
BUCHANAN,PATRICIA,1937/3/23,Alderwood,916-93-8001,FEMALE,1206,CHARTREUX,1957/10/4,REPUBLICAN
THOMSON,JOSE,1935/11/9,Alderwood,798-89-3659,MALE,833,BITTERSWEET,1957/10/4,DEMOCRAT
HILL,JOHN,1938/10/10,Alderwood,859-90-8656,MALE,637,MALTESE,1957/10/5,REPUBLICAN
JENSEN,TABITHA,1938/8/6,Alderwood,347-81-5776,FEMALE,330,SALMON,1957/10/5,DEMOCRAT
ELIAS,LINDA,1937/3/25,Alderwood,001-89-0436,FEMALE,698,SERENGETI,1957/10/6,INDEPENDENT
WIGANOSKY,BENJAMIN,1935/11/11,NEW YORK,026-71-8013,MALE,231,PETERBALD,1957/10/6,DEMOCRAT
CARLSON,DEBORAH,1935/11/12,Alderwood,246-61-4705,FEMALE,1313,BOMBAY,1957/10/7,DEMOCRAT
SMALL,ROBERT,1935/11/12,NORTH DAKOTA,572-56-7248,MALE,205,ELEVENTH,1957/10/7,DEMOCRAT
BECK,BARBARA,1937/3/27,Washington,608-53-7777,FEMALE,79,SECOND,1957/10/8,DEMOCRAT
PETERSEN,NATHAN,1938/8/9,KENTUCKY,651-90-2406,MALE,177,SCOTTISH,1957/10/8,REPUBLICAN
BLACKBURN,SANDRA,1935/11/14,NEW HAMPSHIRE,953-77-4095,FEMALE,1449,HAWTHORN,1957/10/9,REPUBLICAN
MOORE,MICHAEL,1938/8/10,Montana,836-28-5754,MALE,172,HAWTHORN,1957/10/9,DEMOCRAT
BLEVINS,ELIZABETH,1938/8/11,ARIZONA,636-47-2120,FEMALE,141,SERENGETI,1957/10/10,DEMOCRAT
CONLEY,LOGAN,1933/2/18,Alderwood,857-37-1395,MALE,489,FIFTEENTH,1957/10/10,REPUBLICAN
JOHNSON,PATRICIA,1934/7/4,Oregon,315-19-1429,FEMALE,910,BORZOI,1957/10/11,REPUBLICAN
RUSSELL,WILLIAM,1938/10/16,KENTUCKY,012-96-9971,MALE,67,MASTIFF,1957/10/11,DEMOCRAT
GORBY,JENNIFER,1937/3/31,California,783-50-6409,FEMALE,107,PAPILION,1957/10/12,REPUBLICAN
O'NEIL,KEVIN,1935/11/17,Idaho,463-50-3387,MALE,127,SNOWSHOE,1957/10/12,REPUBLICAN
HUFF,DONNA,1935/11/18,Alderwood,852-69-6962,FEMALE,571,BOXER,1957/10/13,REPUBLICAN
SACKSTEDER,DAVID,1934/7/6,Alderwood,509-16-5843,MALE,2016,BRITTANY,1957/10/13,REPUBLICAN
CREIM,MARIA,1934/7/7,Alderwood,909-93-1067,FEMALE,2184,COONHOUND,1957/10/14,REPUBLICAN
DANIELSON,GABRIEL ,1938/8/15,OKLAHOMA,047-95-4970,MALE,80,PINE,1957/10/14,REPUBLICAN
GIES,RICHARD,1934/7/8,MEXICO,845-08-3438,MALE,611,CRANBERRY,1957/10/15,REPUBLICAN
THIEDE,LINDA,1935/11/20,ARIZONA,333-61-8872,FEMALE,287,PALM,1957/10/15,INDEPENDENT
ARMSTRONG,SUSAN,1937/4/4,Alderwood,756-48-8691,FEMALE,975,EIGHTH,1957/10/16,REPUBLICAN
ERICKSON,NOAH,1919/6/18,FLORIDA,306-51-7642,MALE,341,TWENTIETH,1957/10/16,DEMOCRAT
BURNETTE,DEBRA,1937/4/5,Alderwood,560-84-7730,FEMALE,203,EIGHTEENTH,1957/10/17,DEMOCRAT
GADD,CHARLES,1935/11/22,Montana,337-88-5513,MALE,44,BASENJI,1957/10/17,REPUBLICAN
NYBERG,MARGARET,1919/6/20,Alderwood,994-41-9416,FEMALE,360,BOXER,1957/10/18,REPUBLICAN
TURNEY,CALEB,1938/8/19,Montana,335-11-2312,MALE,37,BARREL,1957/10/18,DEMOCRAT
COX,JOSEPH,1934/7/12,Alderwood,846-94-3910,MALE,819,OLIVE,1957/10/19,INDEPENDENT
PAYSON,BRENDA,1937/4/7,Montana,093-79-6480,MALE,36,NINETEENTH ,1957/10/19,DEMOCRAT
JONES,JORDAN,1938/8/21,ILLINOIS,805-68-1958,MALE,585,BOBTAIL,1957/10/20,DEMOCRAT
WALKER,DOROTHY,1919/6/22,Alderwood,544-31-6882,FEMALE,308,ELDERBERRY,1957/10/20,DEMOCRAT
WODRICH,JASMINE,1937/4/9,Washington,509-74-2722,FEMALE,1834,EIGHTEENTH,1957/10/21,REPUBLICAN
TRUE,JOSEPH,1935/11/26,Alderwood,568-49-1706,MALE,1780,BOMBAY,1957/10/21,DEMOCRAT
FELIX,BETH,1939/10/27,Alderwood,619-96-3678,FEMALE,1036,CORNISH,1957/10/22,DEMOCRAT
SHARP,HUNTER,1920/11/5,Alderwood,145-86-3424,MALE,192,CORALBERRY,1957/10/22,REPUBLICAN
MABRY,SYDNEY,1935/11/28,MEXICO,052-75-4877,MALE,680,BURMESE,1957/10/23,REPUBLICAN
METZ,BRAD,1938/10/28,Alderwood,318-48-8692,MALE,839,DOGWOOD,1957/10/23,DEMOCRAT
ATKINSON,CARRIE,1935/11/29,MARYLAND,758-59-6202,FEMALE,63,JAVANESE,1957/10/24,DEMOCRAT
MELIUS,CAMERON,1935/11/29,Alderwood,864-11-5349,MALE,693,NINTH,1957/10/24,REPUBLICAN
ALLEN,VICTORIA,1920/11/8,Alderwood,825-12-3204,FEMALE,650,BOXWOOD,1957/10/25,REPUBLICAN
LEHN,DONALD,1938/8/26,KANSAS,450-74-7148,MALE,147,SINGAPURA,1957/10/25,REPUBLICAN
MACALISTER,KYLE,1938/8/27,Idaho,820-66-3643,MALE,140,LAUREL,1957/10/26,REPUBLICAN
RIEKSTS,CAROLINE,1938/10/31,ARIZONA,116-26-5714,FEMALE,288,KINNIKINICK,1957/10/26,REPUBLICAN
SPARKS,ANNA,1937/4/15,Alderwood,463-02-5942,FEMALE,825,SWEET PEA,1957/10/27,REPUBLICAN
YOUNG,DENNIS,1937/4/15,Alderwood,135-84-2101,MALE,1218,SASKATOON,1957/10/27,REPUBLICAN
BUMGARNER,ELIJAH,1935/12/3,Alderwood,815-79-7316,MALE,136,FIFTH,1957/10/28,INDEPENDENT
CLAPHAN,KATY,1919/6/30,Oregon,313-14-1641,FEMALE,1933,ABYSSINIAN,1957/10/28,REPUBLICAN
MACASIEB,WAYNE,1939/11/3,ARIZONA,025-11-0096,MALE,243,TURKISH,1957/10/29,REPUBLICAN
WELSCH,BRIANNA,1937/4/17,KENTUCKY,097-96-5327,FEMALE,310,THIRD,1957/10/29,DEMOCRAT
HOENES,JASON,1934/7/23,Washington,218-29-4156,MALE,119,JAVANESE,1957/10/30,DEMOCRAT
WHYATT,CYNTHIA,1937/4/18,Alderwood,165-36-0121,FEMALE,266,CHOLLA,1957/10/30,REPUBLICAN
HASS,NEAL,1935/12/6,Alderwood,924-14-4605,MALE,2422,BRITTANY,1957/10/31,REPUBLICAN
PRATT,JESSICA,1935/12/6,Alderwood,952-57-2734,FEMALE,1582,SPANIEL,1957/10/31,DEMOCRAT
HOYT,JACK,1938/9/2,Wyoming,035-51-5007,MALE,555,GREYHOUND,1957/11/1,DEMOCRAT
ROBB,NATALIE,1938/9/2,ARIZONA,223-77-9128,FEMALE,339,KINNIKINICK,1957/11/1,INDEPENDENT
BLAZON,MIKE,1935/12/8,Alderwood,655-16-7274,MALE,1022,SWEET PEA,1957/11/2,DEMOCRAT
STITHEM,GRACE,1939/11/7,KENTUCKY,657-71-4240,FEMALE,56,PAPILION,1957/11/2,DEMOCRAT
ALLAN,AARON,1935/12/9,Alderwood,446-77-5360,MALE,3395,KOMONDOR,1957/11/3,REPUBLICAN
LETTAU,KIMBERLY,1935/12/9,Alderwood,938-52-4179,FEMALE,1722,MAIN,1957/11/3,DEMOCRAT
